职位名称,工作地址,学历要求,工作年限要求,招聘人数,薪资待遇,公司行业,公司性质,公司规模,融资阶段,招聘状态,职位类型,岗位描述,公司介绍,公司工商信息,简历详情页地址,更新日期
招聘实习生,北京-通州区,本科,,1人,250-300元/天,互联网,,10000人以上,已上市,,实习,<岗位标签>岗位配置招聘；绩效管理；人力资源经验</岗位标签>1、协助招聘，电话预约、协调候选人、面试官时间，并安排面试；2、基础岗位招聘，网络筛选简历、并进行电话面试；3、协助进行人员入职、离职、绩效等管理工作；4、协助进行招聘渠道维护的相关工作；5、协助进行人力资源相关的数据统计工作。招聘人数：1人,京东于2004年正式涉足电商领域，2017年，京东集团市场交易额接近1.3万亿元*。2018年7月，京东第三次入榜《财富》全球500强，位列第181位，在全球仅次于亚马逊和Alphabet。2014年5月，京东集团在美国纳斯达克证券交易所正式挂牌上市。2015年7月，京东凭借高成长性入选纳斯达克100指数和纳斯达克100平均加权指数。京东商城致力于打造一站式综合购物平台，通过组建大快消、电子文娱、时尚生活三大事业群，服务中国亿万家庭，并以高于行业平均增长速度的发展态势满足消费者日益多元的消费需求。京东商城,https://www.liepin.com/company/9747025/,https://www.liepin.com/lptjob/66790355,2024-05-11 14:02:37
财务专员,北京-朝阳区,本科,,3人,8-13k,专业技术服务,,,,,应届,<岗位标签></岗位标签>岗位职责：1、负责与现场同事对接项目公司结算事宜；2、负责项目公司结算进度跟进；3、负责与公司财务部门对接项目公司结算事宜；4、负责清分工作，与财务部门对接清分数据；5、针对收益较低用户参与分析原因，提供数据支持；6、负责对不满足保底收益用户的补偿工作；7、其他临时工作。任职要求： 1.统招本科以上学历，会计专业优先。2.需要较强的沟通能力和执行力。3.服务意识较强，工作认真负责，为人正直有责任心，具有团队协作能力，处理事情条理清晰，能够承受工作压力。熟练使用Word、Excel,尚方能源是一家集光伏等多种新能源模式电站的开发、设计、建设、智能运维和专业咨询服务为一体的全流程资产开发建设运营平台（DEPCO），专业从事分布式户用、工商企业屋顶电站的设计、建设、运维、碳交易以及储能业务等综合服务。公司拥有我国首批分布式能源领域的资深专家团队以及丰富的电力工程项目管理经验和光伏及储能项目开发落地经验。,https://www.liepin.com/company/13576103/,https://www.liepin.com/lptjob/66790307,2024-05-11 14:02:24
管理类岗位,北京-朝阳区,本科,,4人,7-10k,人工智能,,100-499人,,,应届,<岗位标签></岗位标签>1.2024届应届毕业生，大学本科及以上学历； 2.专业不限，清洁能源、数字化、交通运输、经济管理和人力资源管理等相关专业优先； 3.学业优秀，专业知识扎实，综合素质较高；积极主动，具有较强的责任心、学习能力和团队协作意识，具有良好的书面及口头表达能力； 4.服从工作内容和工作地点安排，接受派往公司旗下所属公司锻炼培养； 5.在校期间表现良好，无不良记录。截止日期：2025年05月09日招聘人数：4人,招商局公路科技(北京)有限公司，成立于2012-01-05，位于北京市朝阳区建国路118号招商局大厦5层C区，所属行业是其他组织管理服务。人工智能 100-499人,https://www.liepin.com/company/13903461/,https://www.liepin.com/lptjob/66788613,2024-05-11 14:00:49
芯片测试工程师（实习）,北京-通州区,本科,,5人,120-200元/天,电子/半导体/集成电路,,50-99人,C轮,,实习,"<岗位标签>暑期</岗位标签>工作职责:1、组织开展新产品制造系统验证，验证产品批量制造、测试的一致性，发现和解决新产品的制造及技术问题，跟进问题点闭环验证； 2、FPGA芯片应用级验证,配合芯片研发部门进行调试；3、输出参考设计工程，撰写相关文档；4、协助现场应用工程师（FAE）分析和解决系统故障； 专业学历要求:电子、计算机、通信等相关专业;本科及以上学历。招聘人数：5人",京微齐力（北京）科技有限公司注册在北京经济技术开发区，总部设于亦庄，在中关村设有研发中心；在上海，深圳，武汉，青岛有技术支持，市场销售团队。京微齐力是除美国外最早进入自主研发、规模生产、批量销售通用FPGA芯片及新一代异构可编程计算芯片的企业之一。公司团队申请了近200件专利和专有技术（含近50件PCT/美国专利），具备独立完整的自主知识产权。其产品将FPGA与CPU、MCU、Memory、ASIC、AI等多种异构单元集成在同一芯片上，实现了可编程、自重构、易扩展、广适用、多集成、高可靠、强算力、长周期等,https://www.liepin.com/company/12812029/,https://www.liepin.com/lptjob/66788463,2024-05-11 14:00:25
公关BP（安全）,北京-海淀区,本科,,2人,10-15k·16薪,互联网,,10000人以上,港股上市,,应届,<岗位标签></岗位标签>岗位描述：1. 对内容平台或者电商、商业化、本地生活的治理有理解，对风险具有洞察力和敏感性；2. 有PR岗位实习经验，具备良好的突破能力，与业务部门达成互信，推进平台治理工作；3. 能挖掘平台治理向的选题线索，独立完成策划和传播项目；4. 优秀的学习能力，能够快速掌握业务知识；5. 良好的突破能力，能够与业务部门达成互信。岗位要求：1. 熟悉互联网，尤其是短视频平台行业生态，有对行业发展有深度见解；2. 能够洞悉行业发展趋势，基于行业的战略思维能够对业务产生影响；3. 有知名互联,快手是内容社区和社交平台，是短视频行业开创者。快手致力于创造一个温暖和信任的社区，让更多普通人拥有表达和被看见的机会，并由此培育了繁荣与高互动的社区生态，每天有上千万优质内容上传。,https://www.liepin.com/company/8605497/,https://www.liepin.com/lptjob/66782537,2024-05-11 13:09:44
医学信息专员（Medical Information）,北京-通州区,硕士,,,9-15k,制药,,2000-5000人,,,应届,<岗位标签></岗位标签>岗位职责参与医学事务部日常工作，负责为医疗专业人员和患者提供高质量的医学信息服务，公司内部各项业务提供医学支持包括新产品和成熟产品的支持，同时协助团队定期分享内外部客户反馈及见解和项目的执行：1. 依据公司研发管线及临床开发特点，为临床研究团队等提供医学信息支持；2. 关注医学新进展，提炼相关文献分析报告，追踪公司管线产品相关医学热点，提供竞品分析；3. 建立/维护管线产品医学信息文件及培训；4. 协助针对产品相关医学问题和医学信息进行答疑；5. 负责公司医学类公众号文章开发与日,甘李药业成立于1998年，致力于科研、开发、生产和销售用于治疗糖尿病、肿瘤、自身免疫等重大疾病的创新药物。2020年6月29日，甘李药业在上海证券交易所主板挂牌上市，股票代码：603087.甘李药业总部位于北京，是中国掌握产业化生产重组胰岛素类似物技术的高科技生物制药企业，具备完整胰岛素研发管线。目前，公司已拥有长效甘精胰岛素注射液（长秀霖)、速效赖脯胰岛素注射液（速秀霖)、精蛋白锌重组赖脯胰岛素混合注射液（25R)(速秀霖25)、门冬胰岛素注射液（锐秀霖)及门冬胰岛素30注射液（锐秀霖30)五个重组胰岛,https://www.liepin.com/company/8043049/,https://www.liepin.com/lptjob/66781939,2024-05-11 13:08:27
医学联络专员,北京-通州区,硕士,,,9-15k,制药,,2000-5000人,,,应届,<岗位标签></岗位标签>工作职责1.建立和完善国内、国际医学联络专家库；通过面对面拜访、学术会议、临床研究跟进等形式与专家库成员开展系统的、有计划地学术互动，收集专家洞见，传递公司产品医学信息；2.结合公司的产品管线和发展战略，通过网络公开信息、数据库调研、业界会议交流等方式，对竞争对手企业信息、竞品药物信息和潜在合作伙伴信息等市场情报进行收集，并识别重要信息进行处理和分析，建立关键竞争对手及潜在合作伙伴资料库；3.结合公司发展战略目标，协助制定新产品在中国、国际市场的医学策略；4.依据公开发表的循证证,甘李药业成立于1998年，致力于科研、开发、生产和销售用于治疗糖尿病、肿瘤、自身免疫等重大疾病的创新药物。2020年6月29日，甘李药业在上海证券交易所主板挂牌上市，股票代码：603087.甘李药业总部位于北京，是中国掌握产业化生产重组胰岛素类似物技术的高科技生物制药企业，具备完整胰岛素研发管线。目前，公司已拥有长效甘精胰岛素注射液（长秀霖)、速效赖脯胰岛素注射液（速秀霖)、精蛋白锌重组赖脯胰岛素混合注射液（25R)(速秀霖25)、门冬胰岛素注射液（锐秀霖)及门冬胰岛素30注射液（锐秀霖30)五个重组胰岛,https://www.liepin.com/company/8043049/,https://www.liepin.com/lptjob/66781893,2024-05-11 13:08:14
市场开发,北京,本科,,,薪资面议,保险,,1-49人,,,应届,<岗位标签></岗位标签>任职要求1.具备较强的写作能力、良好的政治理论水平和修养；2.心理素质佳、抗压能力强、团队协作意识强，较强的组织能力、沟通协调能力；3.能熟练使用各类办公软件；4.有相关实习经验经历者优先。学历要求统招大学本科及以上专业要求核物理、电力、自动化、保险学、金融学、经济学、工商管理、财务管理等相关专业截止日期：2024年05月31日,,https://www.liepin.com/company/13826679/,https://www.liepin.com/lptjob/66781303,2024-05-11 13:07:39
律师-律师助理（并购方向）,北京-西城区,硕士,,,15-20k,专业技术服务,,100-499人,,,应届,<岗位标签>公司上市；法律职业资格证；非诉方向；兼并收购；尽职调查；证券法律业务经验</岗位标签>职位描述&工作要求工作内容主要涉及：上市公司并购重组、产业并购等业务。1、国内外法学院校法学专业硕士及以上学历；2、2024年毕业，具有知名律师事务所证券法律业务实习经验者优先考虑；3、具备优秀的英文口头和书面表达能力；4、已考取法律职业资格证书；5、品行端正、专业精进，有责任心，认真仔细，能承受较大工作压力，有志于长期从事律师工作；6、具有良好的客户服务意识、沟通能力和团队合作精神。截止日期：2025年05,嘉源律师事务所成立于2000年，是主要从事资本市场、金融领域法律业务、境内外投融资业务和争议解决业务的专业化律师事务所。经过二十年的稳健发展，嘉源建立起了有效的公司化管理模式和紧密合作的团队作业机制，凭借在众多重大、复杂和创造性的项目中的能力和经验，在律师界和金融证券界牢固树立了“嘉源律师”品牌。嘉源在为客户提供优质高效法律服务的同时，亦力求使每位成员得到尊重和关怀，并为每位成员提供充分的发展机会。如您有意加入并符合以下条件，请将详细简历通过电子邮件发送至人力资源部。,https://www.liepin.com/company/8780295/,https://www.liepin.com/lptjob/66780461,2024-05-11 13:07:15
投资者关系部_投资者关系实习生(J72297),北京-海淀区,本科,,2人,100-150元/天,互联网,,10000人以上,美股上市,,实习,<岗位标签></岗位标签>职责描述：【对外沟通】协助规划和执行投资者关系管理计划【对内传播】与公司内各个业务和职能部门联络【资本市场分析】海外和国内互联网行业动向跟踪，海外和国内竞对财报信息追踪与分析，跟踪海外和国内各项金融市场数据【投资者关系管理】支持其他有关于投资者关系团队与股东和公司事务管理的工作任职要求：【对外沟通】协助规划和执行投资者关系管理计划【对内传播】与公司内各个业务和职能部门联络【资本市场分析】海外和国内互联网行业动向跟踪，海外和国内竞对财报信息追踪与分析，跟踪海外和国内各项金融市场数据,百度，全球最大的中文搜索引擎、最大的中文网站。2000年1月创立于北京中关村。 百度拥有数千名研发工程师，这是中国乃至全球最为优秀的技术团队，这支队伍掌握着世界上最为先进的搜索引擎技术，使百度成为中国掌握世界尖端科学核心技术的中国高科技企业，也使中国成为美国、俄罗斯、和韩国之外，全球仅有的4个拥有搜索引擎核心技术的国家之一。 从创立之初，百度便将“让人们最便捷地获取信息，找到所求”作为自己的使命，成立以来，公司秉承“以用户为导向”的理念，不断坚持技术创新，致力于为用户提供“简单，可依赖”的互联网搜索产品及,https://www.liepin.com/company/884492/,https://www.liepin.com/lptjob/66779919,2024-05-11 13:06:27
