职位名称,工作地址,学历要求,工作年限要求,招聘人数,薪资待遇,公司行业,公司性质,公司规模,融资阶段,招聘状态,职位类型,岗位描述,公司介绍,公司工商信息,简历详情页地址,更新日期
投资总监,北京朝阳区中国国际科技会展中心A座,本科,5-10年,招1人,2万-4万,零售/批发,上市公司,500-999人,已上市,,全职,<岗位标签>投资机构(VC/PE)</岗位标签>•岗位定位： <br>根据公司整体发展战略，拟定投资策略、战略合作方案和新业务拓展计划，带领投资发展部完成落地工作，推动公司主业与被投项目、战略合作方和新业务的有效协同，并为公司董事会和高管团队提供投资、对外合作及新业务发展建议。 <br>•岗位职责： <br>1、结合公司战略规划制定部门工作计划，带领团队进行计划落地； <br>2、跟踪投资市场信息，引进符合公司战略方向的投资项目并开展初筛、立项推荐、尽职调查、组织决策会、交割及投后管理工作； <br>3、,世纪天鸿教育科技股份有限公司成立于2004年，2017年9月26日在深圳证券交易所创业板正式挂牌上市，股票简称为“世纪天鸿”（股票代码为300654），成为全国首家在A股上市的民营教育出版企业，同时也是山...,http://company.zhaopin.com/CZ134507860.htm,http://jobs.zhaopin.com/CC134507860J40476209211.htm,2024-05-11 19:22:56
投资总监/经理,北京海淀区中关村软件园信息中心,硕士,3-5年,招1人,2万-3万,互联网,其它,1000-9999人,不需要融资,,全职,<岗位标签>投资机构(VC/PE)</岗位标签>岗位职责： 1.寻找优秀创业项目及创业团队，有针对性的拓展和管理项目资源和渠道； <br>2.研判创业团队提供的商业计划书及融资方案，根据自身对行业的经验及理解，给与创业项目专业的挖掘、评估、判断； <br>3.通过尽职调查判断项目风险，配合合伙人促成交易完成。 <br> 任职条件：1.硕士研究生及以上学历，理工科、电子、计算机、软件等相关专业优先；<br>2.具有2年以上私募股权基金从业经验，或有3年以上信息技术产业从业经验；<br>3.对信息技术行业的某,智联猎头作为智联招聘旗下品牌，以满足企业中高端岗位的人才招聘需求为出发点，整合全球优质资源，覆盖数字经济、新一代信息技术、人工智能、金融、电子信息、装备制造、生物医药与健康、房地产/建筑等数十个...,http://company.zhaopin.com/CZL1318355140.htm,http://jobs.zhaopin.com/CCL1318355140J40356156503.htm,2024-05-13 10:56:37
家族办公室投资顾问,北京海淀区北京海淀区西直门北大街52号6楼,本科,3-5年,招1人,1.8万-2.4万,保险,国企,10000人以上,已上市,,全职,<岗位标签></岗位标签>工作内容：<br>1、1929家族办公室的市场开发、推广<br>2、针对1929家族办公室的成员提供专属的服务<br>3、1929家族办公室的相关资源的深度整合、平台搭建<br> <br>职位要求：<br>1、本科以上学历<br>2、至少五年以上的工作经验<br>3、具有良好的沟通能力及形象<br>4、具有信托、法税、财富管理、养老规划、教育规划等工作经验者优先<br><br>岗位职责：<br>1、运用财富规划理念，洞悉并捕捉投资业务和保险业务机会;<br>2、以客户需求为导向，,中国太平保险集团有限责任公司是中国第一家跨国金融保险集团公司，于1929年在上海创立，是中国历史悠久的民族保险品牌，是中国保险业第一家在境外上市的中资保险企业，太平人寿北京分公司隶属于太平人寿保险有...,http://company.zhaopin.com/CZ121007780.htm,http://jobs.zhaopin.com/CC121007780J40669864515.htm,2024-05-11 19:00:43
商业地产投资拓展经理,北京朝阳区北京市朝阳区百子湾路33号院6号楼,本科,3-5年,招1人,1.5万-2万,房地产开发,民营,100-299人,未融资,,全职,<岗位标签></岗位标签>商业地产投资拓展经理:<br>职位描述<br>岗位职责：1、拓展商业地产项目信息来源渠道、项目合作伙伴，在市场上获得符合公司投资标准的地产项目资源储备；<br>2、进行商业地产项目现场勘查、市场调研、落实项目相关信息，撰写调研报告，进行项目投资判断；<br>3、参与商业地产项目合作开发谈判，落实合作开发协议；<br>4、负责组织协调销售等相关事宜，确保项目能够顺利实施；<br>5、取得和核实区域发展项目所需的有关技术资料和文件，对有关资料文件进行整理和管理；<br>6、跟踪和分析,中犀资本是一家国际化多专业形态的集团性企业，集团是以房地产业务为主线，贯穿地产金融、地产开发、商街运营、资产运营及线上线下不动产处置等五大产业链条，依托房地产发展趋势，综合运用互联网+思维，致力于...,http://company.zhaopin.com/CZ503312730.htm,http://jobs.zhaopin.com/CC503312730J40545917616.htm,2024-05-11 22:32:06
投资风控岗,北京朝阳区双子座大厦东塔,本科,1-3年,招1人,1万-2万·16薪,保险,合资,300-499人,未融资,,全职,<岗位标签>信托研究；信用评级</岗位标签>岗位职责： 1.参与拟订和审查保险资金运用管理相关的制度； <br> 2.按照公司审批通过的审查制度规定开展资金运用风险和合规审查； <br> 3.复核投资部门资产五级分类初分结果； <br> 4.根据监管及公司内部要求编制相关报告报表，并按照要求进行报送； <br> 5.开展资金运用监督检查和评估工作，识别、监测、分析、提示和报告资金运用相关风险，参与风险处置，提供相关风险管控建议： <br> 6.组织开展保险资金运用风险合规相关培训； <br> 7.公司/领,鼎诚人寿保险有限责任公司，是一家成立于2009年3月的全国性合资寿险公司，2018年9月经中国银行保险监督管理委员会批准，公司完成了股权变更并增资至12.5亿元人民币，资本实力更加雄厚。公司拥有一支卓越的专...,http://company.zhaopin.com/CZ184584810.htm,http://jobs.zhaopin.com/CC184584810J40543710108.htm,2024-05-11 20:08:34
投资管理岗,北京海淀区清华同方科技广场同方人工环境有限公司B座21层,硕士,3-5年,招1人,1.2万-2万·14薪,IT服务,上市公司,10000人以上,已上市,,全职,<岗位标签>A类法律职业资格证；融资/并购；合同审查；合规风控；金融</岗位标签>职位描述： 1、建立、修订投资管理规定和长期投资管理办法，提请批准后宣贯、实施； 2、组织、编制年度股权投资计划及其调整方案，履行内部决策后报上级单位； 3、根据投资管理相关制度对合并报表范围各级主体的对外投资行为进行管理，负责审核、组织各部门参与审核立项报告、投资方案，形成议案，组织召开投资预审委员会会议审议并依据审批权限提交投资决策机构审议； 4、如需，负责报上级单位批准及履行或督促发起单位履行必要的政府审批； 5、负责,同方股份有限公司是1997年由清华大学出资成立的高科技企业，同年在上海证券交易所挂牌上市。2019年12月31日，公司控股股东由清华控股变更为中核资本，实际控制人由教育部变更为国务院国资委。截至目前，中核资...,http://company.zhaopin.com/CZ120155260.htm,http://jobs.zhaopin.com/CC120155260J40344391111.htm,2024-05-11 18:35:59
光伏投融资经理,北京西城区万丰珠宝交易中心,本科,5-10年,招1人,1.5万-2.5万,贸易/进出口,民营,100-299人,未融资,,全职,<岗位标签>金融；制造业；融资租赁；光伏电池片</岗位标签>岗位职责：1、根据公司发展战略和年度经营计划，制定并组织实施公司投融资中长期规划和年度投融资计划； 2、根据年度投融资计划及项目进展情况，制定融资方案，通过银行贷款、融资租赁、供应链金融、设立基金等方式筹集经营所需资金，按计划实施投资活动；3、创新项目投资合作及金融融资模式，保障公司业务正常开展；4、参与投资平台建设，优选投资项目，推进项目落地，兼顾各方利益；5、参与相关合同评审，进行投资项目的收益测算，为公司经营决策提供金融分析和支持；6、负责,华创国控成立于2003年，为中国电子进出口有限公司（CEIEC）正处级子公司，2022年3月通过增资扩股引进战略投资机构，由传统外贸企业变为涵盖进出口贸易、新能源（光伏）产业投资、实业投资等以资产运营、金融投...,http://company.zhaopin.com/CZL1412412970.htm,http://jobs.zhaopin.com/CCL1412412970J40396811012.htm,2024-05-13 11:37:34
投资银行部经理,北京西城区西城区金融大街丙9号威斯汀,本科,5-10年,招2人,1.5万-3万,投资/融资,民营,20-99人,未融资,,全职,<岗位标签></岗位标签>岗位职责：1、负责投资银行部日常运营工作，制定业务发展战略、经营策略与工作计划，完成各项业务目标和绩效指标，配合香港总部投资银行部工作；2、负责统筹港股IPO、再融资或并购重组等项目业务开展，同时组织开展资产证券化、股权资本市场等投资银行产品的研发与推广；3、负责投资银行产品销售渠道的拓展，并开展销售渠道的营销；4、协调与其他部门的合作，确保投资银行业务与公司其他部门业务协调一致，以提供综合的客户服务和解决方案；5、确保投资银行业务的合规性和风险管理，遵守监管要求和内部政策，以保,北京普伦证券咨询有限公司（简称普伦证券）是专业提供服务的证券咨询机构，总部位于北京，在香港、青岛均设有办事机构。普伦证券团队系由我国著名公司治理、市值管理、并购重组专家教授指导组建，并由国内外投资银...,http://company.zhaopin.com/CZL1381689480.htm,http://jobs.zhaopin.com/CCL1381689480J40548053109.htm,2024-05-13 11:26:51
生物医药投资总监,北京朝阳区北京创业大厦B座,硕士,5-10年,招1人,3万-4万,证券/期货,国企,20-99人,未融资,,全职,<岗位标签>股权投资；医疗健康</岗位标签>岗位职责：<br>1. 挖掘和筛选有发展潜力和投资价值的项目，对投资标的进行分析论证和价值评估，攥写可行性研究报告等文件；<br>2. 参与投资项目的尽职调查，对项目进行动态跟踪，分析评价项目的运营发展情况及法律风险和合规情况；<br>3. 对拟投资项目组织实施投资运作，设计交易结构，制定投资方案，开展合同谈判等工作；<br>4. 设计投后管理及退出方案， 对已投项目及时跟踪，了解、分析项目的发展情况，根据项目发展阶段设计合理退出方案；<br>5. 及时揭示项目,北京首都科技发展集团有限公司是北京市科学技术委员会按照北京市委市政府部署组建的科技投资服务集团。集团专注于科技成果转化从“0”到“1”阶段，探索建立跨越科技成果转化“死亡谷”的原始创新投资机制，以...,http://company.zhaopin.com/CZ245990130.htm,http://jobs.zhaopin.com/CC245990130J40321327606.htm,2024-05-11 20:26:22
文旅项目前期投资发展部经理,北京朝阳区自主城3号楼1号楼1201室,本科,1-3年,招5人,8千-1万,房地产开发,股份制企业,100-299人,未融资,,全职,<岗位标签>文旅前期投资</岗位标签>职位描述 1. 前期项目规划阶段政府关系的维护与拓展； <br>2. 制定项目规划建议书，在领导授权下开展项目谈判与实施工作 <br>3. 具有独立判断、决策的能力，能为公司战略决策起到支撑作用。,国开青旅集团有限公司成立于2018年，注册资本为：1000000万人民币。目前公司主营业务有：旅游资源开发；旅游开发项目策划咨询；蔬菜种植；新鲜水果零售；新鲜蔬菜零售；林木种子生产经营；花卉种植；组织文...,http://company.zhaopin.com/CZL1357405410.htm,http://jobs.zhaopin.com/CCL1357405410J40231326313.htm,2024-05-13 11:22:34
投资测算岗位,北京东城区北京东城区北三环东路36号,本科,1-3年,招1人,1.3万-1.8万,检测/认证,民营,20-99人,未融资,,全职,<岗位标签></岗位标签>（1）本岗位属于投资方岗位，主要负责投资方项目前期项目的经济效益测算，岗位为劳务派遣类型。<br>（2）2年以上造价从业经验；<br>（3）了解相关造价基础知识；<br>（4）具备较强学习能力，立志于从事电力工程投资开发，<br>（5）具有新能源或火电项目等能源项目业绩；,安质信（QualiSafeTech）工程技术公司致力于以国际领先的管理理念和技术平台为客户提供工业产品质量检验检测、工业安全与环境保护技术咨询、专业软件开发和专业工程师派遣等服务。公司技术和管理人员积累了大量...,http://company.zhaopin.com/CZ662352120.htm,http://jobs.zhaopin.com/CC662352120J40515869316.htm,2024-05-14 10:43:02
证券理财经理或证券投资顾问,北京东城区北京市东城区建国门内大街7号(建国门地铁站A西北口步行440米),本科,经验不限,招2人,1万-2万,证券/期货,上市公司,20-99人,已上市,,全职,<岗位标签>证券公司；基金公司；资产管理公司；银行；信托公司；全职；证券从业资格证</岗位标签>岗位职责: (1)建全客户服务档案，完善客户个性化信息。真实、完整地建立客户服务档案，并持续了解所服务客户的财产与收入状况、证券投资经验、投资品种偏好、投资风险偏好、投资目标等信息，适时完善客户个性化信息，以便投资顾问更有效地为客户提供适当的投资顾问服务。在此基础上积极拓客，为公司争取市场及新客户。(2)推送资讯产品及研究报告，提供基础服务。在充分了解客户需求的基础上，将公司研究报告、资讯产品等有效推送；加强与,湘财证券股份有限公司北京顺义站前街证券营业部成立于2000年，是证券行业在北京郊区的第一家证券营业部，营业部位于顺鑫国际商务中心6层，地处顺义区核心地段。作为顺义区成立时间最早、资产规模、影响力最大的...,http://company.zhaopin.com/CZL1230388320.htm,http://jobs.zhaopin.com/CCL1230388320J40374466504.htm,2024-05-14 12:10:29
投资发展部项目专员,北京西城区西城区右安门内大街15号,本科,1-3年,招1人,1.5万-2万,土地与公共设施管理,国企,500-999人,不需要融资,,全职,<岗位标签>国有独资</岗位标签>一、计划管理：1、编制集团年度工作计划，并及时调整、完善；2、负责编制集团下属各单位年度经营目标责任书；3、监督计划的执行情况，组织召开集团各项计划运营会议；4、编制集团整体年度工作计划总结。二、投资管理：1、负责投资方向的研究与分析，并提出建议；2、负责组织编制集团年度投资计划；3、负责集团总部作为投资主体的投资相关事项；4、组织评审集团下属单位上报的投资相关事项；5、负责研究投资退出相关事宜，组织编制投资退出方案；6、负责组织投资后评估工作。三、城市更新项目管理：1、,我公司是由原北京市宣武区房屋土地管理局在2000年政府机构改革中整建制转企的国有独资企业，隶属北京市西城区国资委，注册资金17740万元，资产42.8亿元。公司下属全民所有制企业和国有独资及控股企业共10余...,http://company.zhaopin.com/CZ137027380.htm,http://jobs.zhaopin.com/CC137027380J40509325003.htm,2024-05-11 19:26:06
