,Normalized Job Title,Job Titles
107,net供应链方向,['.net开发工程师（供应链方向）']
108,net全栈,['.NET全栈工程师']
109,net全栈技术合伙人,['.NET全栈技术合伙人']
110,net初级,['.NET初级开发工程师' '.net初级工程师' '.NET开发工程师（初级）']
111,net包住,['.net工程师（包住）']
112,net双休加班工资另算,['.net开发工程师（双休，加班工资另算）']
113,net后台,['.Net后台开发工程师' '.net后台开发']
114,net后端,['.NET后端开发工程师' '.NET后端开发' '.Net后端开发工程师' '.net后端开发工程师' '.net后端工程师']
115,net外包,['.NET开发工程师（外包）']
116,net外派深圳福田嘉里建设广场,['.net工程师（外派深圳福田嘉里建设广场）']
117,net大厂,['.net-大厂']
118,net实习生,['.NET实习生' '.net实习生']
119,net实施高级,['.NET（实施）高级开发工程师']
120,net急急急缺9个电话面试薪资可谈,['.Net（急急急缺9个电话面试薪资可谈）']
121,net懂vuejs线上面试快速到岗,['.NET(懂vuejs+线上面试+快速到岗)']
122,net技术员,['.NET开发技术员']
123,net技术经理,['.NET技术经理']
124,net测试,['.net开发测试工程师']
125,net研发,['.NET开发工程师，研发工程师' '.net研发工程师']
126,net程序员,['.net程序员' 'net程序员']
127,net粤语流利,['.net开发工程师（粤语流利）']
128,net经理,['.NET开发经理']
129,net跨境电商erp,['NET软件开发工程师(跨境电商ERP开发工程师)']
130,net驻场客户方 线上面试,['.net开发（驻场客户方 线上面试）']
131,net高并发高可用,['.NET开发工程师（高并发高可用）']
132,net高级,['.NET高级开发工程师' '.net高级开发工程师' '.NET开发工程师（高级）' '.net高级工程师' '.net高级开发']
133,net高级研发,['.NET高级研发工程师']
134,net高级研发驻马来西亚,['.net高级研发工程师（驻马来西亚）']
135,net高薪跨平台兼职,['.NET高薪跨平台兼职']
136,nlp自然语言处理python实习生,['nlp自然语言处理python实习生']
137,oa负责人,['OA开发负责人']
138,odoo,['odoo开发工程师']
139,od大数据,['【OD】大数据开发工程师']
140,olap引擎内核研发,['OLAP引擎内核研发']
141,olap引擎大数据系统架构师,['OLAP引擎&大数据系统架构师']
142,olap引擎研发,['OLAP引擎研发工程师']
143,olap引擎研发双休大厂,['OLAP引擎研发工程师（双休/大厂）']
144,olap研发数据平台,['OLAP研发工程师-【数据平台】']
145,openstack,['OpenStack开发工程师' 'openstack开发工程师']
146,paas平台研发,['paas平台研发工程师']
147,pc,['PC软件工程师']
148,pipelinetd,['PipelineTD']
149,python,"['python工程师' 'python软件开发工程师' 'python开发工程师' 'Python' 'Python开发'
 'Python开发工程师' 'python' 'Python 开发工程师' 'Python工程师' 'python开发']"
150,python web,['Python Web工程师']
151,python web 后端,['Python web 后端开发']
152,python web 高级,['Python Web 高级开发工程师']
153,python web全栈,['python web全栈工程师']
154,python 企业内部系统,['PYTHON 开发工程师（企业内部系统）']
155,pythonaia248933,['Python/AI工程师(A248933)']
156,pythonaigc方向,['python工程师（aigc方向）']
157,pythonmatlab,['python/matlab工程师' 'Python/matlab工程师']
158,pythonmatlab线上兼职工作,['Python/matlab工程师（线上兼职工作）']
159,pythonpythongo,['Python开发工程师（Python/Go）']
160,python偏数据分析及模型方向,['Python工程师（偏数据分析及模型方向）']
161,python全栈,['Python全栈工程师' 'python全栈开发工程师']
162,python公司自招,['python工程师（公司自招）']
163,python兼职老师,['python兼职老师']
164,python助理,['Python开发助理工程师']
165,python双休,['python工程师（双休）']
166,python后台,['Python后台开发']
167,python后台ai小游戏后台,['python后台工程师（AI小游戏后台）']
168,python后端,"['python后端工程师' 'python后端开发工程师' 'Python后端工程师' 'Python后端开发工程师' 'Python后端开发'
 'Python后端']"
169,python售后,['Python售后工程师']
170,python实习生,['python实习生' 'Python实习生' 'Python开发工程师--实习生' 'python开发实习生']
171,python实习生ai方向远程实习,['python实习生（AI方向，远程实习）']
172,python教师,['Python教师']
173,python数据,['python数据开发工程师']
174,python数据分析讲师兼职,['python数据分析讲师（兼职）']
175,python日语n3,['python开发工程师（日语N3）']
176,python短期项目可转正式员工,['Python开发（短期项目可转正式员工）']
177,python研发,['python研发工程师']
178,python研发j10725,['Python研发工程师(J10725)']
179,python研发j58097,['Python研发工程师(J58097)']
180,python程序员,['python程序员']
181,python算法方向,['python开发工程师（算法方向）']
182,python线上面试自研平台16薪双休,['python(线上面试，自研平台，16薪，双休）']
183,python编程老师,['python编程老师']
184,python航天外包,['Python开发工程师-航天外包']
185,python讲师,['python讲师']
186,python通用人工智能编程语言,['Python开发工程师（通用人工智能编程语言）']
187,python量化,['python量化开发工程师']
188,python高级,['Python高级工程师' 'python高级工程师' 'python高级开发工程师']
189,python高级内推优先面试,['python高级工程师(内推，优先面试)']
190,python高级研发,['Python高级研发工程师']
191,rpa,['RPA工程师' 'RPA开发工程师' 'rpa工程师' 'rpa开发工程师']
192,rpa中级,['RPA中级开发工程师']
193,rpa兼职,['rpa开发工程师（兼职）']
194,rpa影刀,['RPA工程师（影刀）']
195,rpa技术,['RPA技术工程师']
196,rpa经理,['RPA开发经理']
197,rpa英文,['RPA开发工程师(英文)']
198,salesforce,['Salesforce']
199,sap驻场python,['SAP驻场-python']
200,sdn网络研发j10071,['SDN网络研发工程师(J10071)']
201,spark,['spark开发工程师']
202,spark大数据,['Spark大数据开发工程师']
203,spark引擎架构师非数仓岗,['Spark引擎架构师-非数仓岗']
204,u9顾问,['U9开发顾问']
205,wcs,['wcs开发工程师']
206,wms主管,['WMS开发主管']
207,wpf,['WPF开发工程师']
208,上海高级python,['【上海】高级Python开发工程师']
209,中关村 python,['中关村 python']
210,中级net,['中级.NET开发工程师' '中级net开发工程师']
211,中级python,['中级python开发工程师']
212,中级大数据,['中级大数据开发工程师']
213,中间件kafka,['中间件开发工程师（kafka）']
214,中高级,['中高级开发工程师' '中高级软件工程师']
215,云侧大数据javascala设计,['云侧大数据JAVA、Scala软件设计工程师']
216,云平台和app,['云平台和App软件开发工程师']
217,云计算,['云计算开发工程师']
218,云计算研发,['云计算研发工程师']
219,互联网后端研发实习生,['互联网后端研发实习生']
220,交付,['交付工程师']
221,人工智能课程研发,['人工智能课程研发']
222,仿真,['仿真开发工程师']
223,全栈,['全栈工程师']
224,公共出行后台高级,['公共出行-后台开发（高级）工程师']
225,兼职python程序员,['兼职python程序员']
226,兼职python隐私计算,['兼职Python（隐私计算）']
227,兼职答疑老师编程类,['兼职答疑老师（编程类）']
228,分布式存储研发,['分布式存储研发工程师']
229,分布式存储计算 技术专家高级,['分布式存储计算 技术专家/高级工程师']
230,分布式系统研发,['分布式系统研发工程师']
231,分布式调度研发,['分布式调度研发工程师']
232,初中级net,['初中级.net开发工程师']
233,初级net,['初级.NET开发工程师' '初级net开发工程师']
234,初级大数据13薪全额公积金中债,['初级大数据开发-13薪全额公积金-中债']
235,助理研究员,['助理研究员']
236,华为云解决方案研发,['华为云解决方案研发工程师']
237,华为预备役od,['软件开发-华为预备役（OD）']
238,后台net架构师,['后台开发工程师/.net架构师']
239,后台python,['后台（Python）开发工程师']
240,后端,['后端开发工程师' '后端工程师' '后端开发']
241,后端 pythondjango,['后端工程师 python，django']
242,后端mes oa,['后端开发软件工程师（MES OA）']
243,后端net24届,['后端开发工程师（.net）-24届']
244,后端python,['后端开发工程师——Python']
245,后端python c golang python,['后端工程师（python C++ / Golang python)']
246,后端实习生,['后端开发实习生']
247,后端研发实习生,['后端研发实习生']
248,图,['图开发工程师']
249,基础平台架构师大数据方向,['基础平台架构师(大数据方向)']
250,基础架构技术专家,['基础架构技术专家']
251,基础架构部分布式系统研发,['基础架构部_分布式系统研发工程师']
252,外企大数据,['（外企）大数据开发']
253,大数据,['大数据开发工程师' '大数据工程师' '大数据开发' '大数据开发工程师（软件开发）']
254,大数据 mj000070,['大数据开发工程师 (MJ000070)']
255,大数据 急招,['大数据开发工程师 急招']
256,大数据24届可转正,['大数据开发（24届可转正）']
257,大数据hadoopsparkjava,['大数据开发（Hadoop，Spark，Java）']
258,大数据java方向,['大数据开发（JAVA方向）']
259,大数据li,['大数据开发工程师【LI】']
260,大数据od,['大数据开发工程师（OD）']
261,大数据sre,['大数据SRE']
262,大数据tkyl13薪公积金全额,['大数据开发（TKYL13薪公积金全额）']
263,大数据上清所全额公积金13薪,['大数据开发工程师-上清所-全额公积金13薪']
264,大数据专家,['大数据专家']
265,大数据专家讲师,['大数据专家讲师']
266,大数据东莞深圳,['大数据开发工程师（东莞/深圳）']
267,大数据交付,['大数据交付工程师']
268,大数据兼职网络讲师,['大数据兼职网络讲师']
269,大数据华为od深圳全国,['大数据开发工程师（华为OD-深圳/全国）']
270,大数据后台,['大数据后台开发' '大数据后台开发工程师']
271,大数据后端,['大数据后端开发']
272,大数据后端clickhouse,['大数据后端开发工程师（Clickhouse）']
273,大数据后端高级专家级,['大数据后端开发工程师-高级/专家级']
274,大数据商业化方向,['大数据开发工程师（商业化方向）']
275,大数据国企,['大数据工程师（国企）']
276,大数据培训讲师,['大数据培训讲师']
277,大数据基础平台,['大数据基础平台开发工程师']
278,大数据基础组件架构师,['大数据基础组件架构师']
279,大数据存储,['大数据存储工程师']
280,大数据存储技术专家,['大数据存储技术专家']
281,大数据安全分析高级,['大数据安全分析高级工程师']
282,大数据实习生,['大数据开发实习生']
283,大数据实时,['大数据实时开发工程师']
284,大数据实时平台实习生,['大数据实时平台开发实习生']
285,大数据实时计算,['大数据实时计算工程师']
286,大数据实时计算平台研发,['大数据实时计算平台研发工程师']
287,大数据实时计算资深架构师专家,['大数据实时计算资深工程师/架构师/专家']
288,大数据岗位,['大数据开发岗位' '大数据开发工程师岗位']
289,大数据岗实时计算方向,['大数据开发岗-实时计算方向']
290,大数据平台,['大数据平台开发工程师' '大数据平台工程师']
